internal_sku,product_id,upc,description,unit_cost_gbp
SKU-1001,PID-88231,0123456789012,Wireless Mouse - Black,12.50
SKU-1002,PID-88232,0123456789029,Mechanical Keyboard 87-key,45.00
SKU-1003,PID-88233,0123456789036,USB-C Hub 7-in-1,22.75
SKU-1004,PID-88234,0123456789043,27in Monitor Stand,18.20
SKU-1005,PID-88235,0123456789050,Noise Cancelling Headphones,89.99
SKU-1006,PID-88236,0123456789067,Laptop Sleeve 14in,9.99
SKU-1007,PID-88237,0123456789074,Webcam 1080p,31.40
SKU-1008,PID-88238,0123456789081,Desk Lamp LED,15.60
SKU-1009,PID-88239,0123456789098,Bluetooth Speaker Mini,27.30
SKU-1010,PID-88240,0123456789104,Ergonomic Wrist Rest,7.85
SKU-1011,PID-88241,0123456789111,Portable SSD 1TB,64.50
SKU-1012,PID-88242,0123456789128,Mechanical Pencil Set,11.20
SKU-1013,PID-88243,0123456789135,Anti-Static Wrist Strap,6.40
SKU-2001,PID-90000,9000000002001,Packing Tape Roll,3.20
SKU-2002,PID-90001,9000000002002,Bubble Wrap 10m,6.75
SKU-2003,PID-90002,9000000002003,Cardboard Box Small,1.10
SKU-2004,PID-90003,9000000002004,Cardboard Box Medium,1.85
SKU-2005,PID-90004,9000000002005,Cardboard Box Large,2.60
SKU-2006,PID-90005,9000000002006,Shipping Label Roll,4.40
SKU-2007,PID-90006,9000000002007,Zip Ties 100pk,2.95
SKU-2008,PID-90007,9000000002008,Furniture Blanket,14.50
SKU-2009,PID-90008,9000000002009,Pallet Wrap Roll,9.20
SKU-2010,PID-90009,9000000002010,Warehouse Gloves (pair),3.75
SKU-2011,PID-90010,9000000002011,Hi-Vis Vest,8.90
SKU-2012,PID-90011,9000000002012,Barcode Scanner Battery,11.40
SKU-2013,PID-90012,9000000002013,Clipboard A4,5.60
SKU-2014,PID-90013,9000000002014,Marker Pen Black,0.95
SKU-2015,PID-90014,9000000002015,Box Cutter,2.30
SKU-2016,PID-90015,9000000002016,Foam Padding Sheet,1.65
SKU-2017,PID-90016,9000000002017,Corner Protector 4pk,3.10
SKU-2018,PID-90017,9000000002018,Strapping Tape Roll,5.85
SKU-2019,PID-90018,9000000002019,Pallet Jack Wheel,22.00
SKU-2020,PID-90019,9000000002020,Loading Dock Bumper,34.50
SKU-2021,PID-90020,9000000002021,Forklift Fuse,6.20
SKU-2022,PID-90021,9000000002022,Safety Cone,12.75
SKU-2023,PID-90022,9000000002023,Warning Sign - Wet Floor,9.40
SKU-2024,PID-90023,9000000002024,First Aid Kit Small,15.20
SKU-2025,PID-90024,9000000002025,Fire Extinguisher 2kg,28.90
SKU-2026,PID-90025,9000000002026,Dust Mask 20pk,4.10
SKU-2027,PID-90026,9000000002027,Ear Plugs 50pk,3.35
SKU-2028,PID-90027,9000000002028,Trolley Wheel Set,18.60
SKU-2029,PID-90028,9000000002029,Storage Bin Small,2.75
SKU-2030,PID-90029,9000000002030,Storage Bin Large,5.90
SKU-2031,PID-90030,9000000002031,Shelf Label Holder,0.65
SKU-2032,PID-90031,9000000002032,Inventory Tag 100pk,3.50
SKU-2033,PID-90032,9000000002033,Stretch Film Roll,7.80
SKU-2034,PID-90033,9000000002034,Address Label Sheet,1.20
SKU-2035,PID-90034,9000000002035,Packing Peanuts Bag,6.40
SKU-2036,PID-90035,9000000002036,Kraft Paper Roll,8.15
SKU-2037,PID-90036,9000000002037,Tape Dispenser,4.95
SKU-2038,PID-90037,9000000002038,Utility Cart Wheel,16.30
SKU-2039,PID-90038,9000000002039,Pallet Corner Post,3.85
SKU-2040,PID-90039,9000000002040,Warehouse Broom,7.25
SKU-2041,PID-90040,9000000002041,Wireless Mouse - Grey,11.80
SKU-2042,PID-90041,9000000002042,USB-C Cable 2m,5.40
SKU-2043,PID-90042,9000000002043,HDMI Cable 3m,7.90
SKU-2044,PID-90043,9000000002044,Laptop Stand Aluminium,24.50
SKU-2045,PID-90044,9000000002045,Wireless Charger Pad,16.90
SKU-2046,PID-90045,9000000002046,Bluetooth Earbuds,34.00
SKU-2047,PID-90046,9000000002047,Phone Case - Universal,6.20
SKU-2048,PID-90047,9000000002048,Screen Protector 3pk,4.75
SKU-2049,PID-90048,9000000002049,Power Bank 10000mAh,19.90
SKU-2050,PID-90049,9000000002050,Extension Lead 4-way,8.60
SKU-2051,PID-90050,9000000002051,Surge Protector 6-way,12.40
SKU-2052,PID-90051,9000000002052,Desk Organiser Tray,9.15
SKU-2053,PID-90052,9000000002053,Whiteboard Marker 4pk,3.95
SKU-2054,PID-90053,9000000002054,Sticky Notes 12pk,4.30
SKU-2055,PID-90054,9000000002055,Stapler Heavy Duty,8.75
SKU-2056,PID-90055,9000000002056,Hole Punch 2-hole,6.50
SKU-2057,PID-90056,9000000002057,Ring Binder A4,2.10
SKU-2058,PID-90057,9000000002058,Lever Arch File,3.60
SKU-2059,PID-90058,9000000002059,Envelope C4 250pk,11.20
SKU-2060,PID-90059,9000000002060,Bubble Mailer 100pk,14.80
SKU-2061,PID-90060,9000000002061,Thermal Label Roll,6.90
SKU-2062,PID-90061,9000000002062,Barcode Label Sheet,2.45
SKU-2063,PID-90062,9000000002063,Handheld Scanner Grip,9.80
SKU-2064,PID-90063,9000000002064,Conveyor Belt Section,145.00
SKU-2065,PID-90064,9000000002065,Roller Skate Wheel,4.20
SKU-2066,PID-90065,9000000002066,Pallet Truck Handle,28.00
SKU-2067,PID-90066,9000000002067,Warehouse Ladder Step,42.00
SKU-2068,PID-90067,9000000002068,Anti-Fatigue Mat,22.60
SKU-2069,PID-90068,9000000002069,Cable Tidy Clips 20pk,1.95
SKU-2070,PID-90069,9000000002070,USB Hub 4-port,13.40
SKU-2071,PID-90070,9000000002071,Ethernet Cable 5m,4.85
SKU-2072,PID-90071,9000000002072,Keyboard Wrist Rest,7.10
SKU-2073,PID-90072,9000000002073,Monitor Cleaning Kit,5.75
SKU-2074,PID-90073,9000000002074,Label Printer Ribbon,9.30
SKU-2075,PID-90074,9000000002075,Void Fill Paper Roll,5.50
SKU-2001,PID-90000,9000000002001,Packing Tape Roll,3.20
SKU-2002,PID-90001,9000000002002,Bubble Wrap 10m,6.75
SKU-2003,PID-90002,9000000002003,Cardboard Box Small,1.10
SKU-2004,PID-90003,9000000002004,Cardboard Box Medium,1.85
SKU-2005,PID-90004,9000000002005,Cardboard Box Large,2.60
SKU-2006,PID-90005,9000000002006,Shipping Label Roll,4.40
SKU-2007,PID-90006,9000000002007,Zip Ties 100pk,2.95
SKU-2008,PID-90007,9000000002008,Furniture Blanket,14.50
SKU-2009,PID-90008,9000000002009,Pallet Wrap Roll,9.20
SKU-2010,PID-90009,9000000002010,Warehouse Gloves (pair),3.75
SKU-2011,PID-90010,9000000002011,Hi-Vis Vest,8.90
SKU-2012,PID-90011,9000000002012,Barcode Scanner Battery,11.40
SKU-2013,PID-90012,9000000002013,Clipboard A4,5.60
SKU-2014,PID-90013,9000000002014,Marker Pen Black,0.95
SKU-2015,PID-90014,9000000002015,Box Cutter,2.30
SKU-2016,PID-90015,9000000002016,Foam Padding Sheet,1.65
SKU-2017,PID-90016,9000000002017,Corner Protector 4pk,3.10
SKU-2018,PID-90017,9000000002018,Strapping Tape Roll,5.85
SKU-2019,PID-90018,9000000002019,Pallet Jack Wheel,22.00
SKU-2020,PID-90019,9000000002020,Loading Dock Bumper,34.50
SKU-2021,PID-90020,9000000002021,Forklift Fuse,6.20
SKU-2022,PID-90021,9000000002022,Safety Cone,12.75
SKU-2023,PID-90022,9000000002023,Warning Sign - Wet Floor,9.40
SKU-2024,PID-90023,9000000002024,First Aid Kit Small,15.20
SKU-2025,PID-90024,9000000002025,Fire Extinguisher 2kg,28.90
SKU-2026,PID-90025,9000000002026,Dust Mask 20pk,4.10
SKU-2027,PID-90026,9000000002027,Ear Plugs 50pk,3.35
SKU-2028,PID-90027,9000000002028,Trolley Wheel Set,18.60
SKU-2029,PID-90028,9000000002029,Storage Bin Small,2.75
SKU-2030,PID-90029,9000000002030,Storage Bin Large,5.90
SKU-2031,PID-90030,9000000002031,Shelf Label Holder,0.65
SKU-2032,PID-90031,9000000002032,Inventory Tag 100pk,3.50
SKU-2033,PID-90032,9000000002033,Stretch Film Roll,7.80
SKU-2034,PID-90033,9000000002034,Address Label Sheet,1.20
SKU-2035,PID-90034,9000000002035,Packing Peanuts Bag,6.40
SKU-2036,PID-90035,9000000002036,Kraft Paper Roll,8.15
SKU-2037,PID-90036,9000000002037,Tape Dispenser,4.95
SKU-2038,PID-90037,9000000002038,Utility Cart Wheel,16.30
SKU-2039,PID-90038,9000000002039,Pallet Corner Post,3.85
